Time,Sensor,Bubble
2022-12-15 13:09:06.462473,0,LIQUID
2022-12-15 13:32:38.599276,0,LIQUID
2022-12-15 13:32:53.925605,0,LIQUID
2022-12-15 13:33:09.348855,0,LIQUID
2022-12-15 13:39:35.439296,0,LIQUID
2022-12-15 13:39:38.651187,0,LIQUID
2022-12-15 13:39:50.573469,0,LIQUID
2022-12-15 13:39:54.201937,0,LIQUID
2022-12-15 13:40:05.557582,0,LIQUID
2022-12-15 13:40:24.769252,0,LIQUID
2022-12-15 13:40:36.306257,0,LIQUID
2022-12-15 13:40:55.440915,0,LIQUID
2022-12-15 13:41:07.285906,0,LIQUID
2022-12-15 13:41:07.843351,0,LIQUID
2022-12-15 13:41:10.505813,0,LIQUID
2022-12-15 13:41:17.693968,0,LIQUID
2022-12-15 13:41:18.188956,0,LIQUID
2022-12-15 13:41:23.033162,0,LIQUID
2022-12-15 13:41:26.263602,0,LIQUID
2022-12-15 13:41:26.478590,0,LIQUID
2022-12-15 13:41:32.869388,0,LIQUID
2022-12-15 13:41:33.755425,0,LIQUID
2022-12-15 13:41:38.162096,0,LIQUID
2022-12-15 13:41:38.309903,0,LIQUID
2022-12-15 13:41:38.573824,0,LIQUID
2022-12-15 13:41:41.585474,0,LIQUID
2022-12-15 13:41:41.945683,0,LIQUID
2022-12-15 13:41:53.839247,0,LIQUID
2022-12-15 13:41:54.008376,0,LIQUID
2022-12-15 13:41:57.591660,0,LIQUID
2022-12-15 13:41:57.881664,0,LIQUID
2022-12-15 13:42:04.099668,0,LIQUID
2022-12-15 13:42:05.069275,0,LIQUID
2022-12-15 13:42:09.216080,0,LIQUID
2022-12-15 13:42:09.398330,0,LIQUID
2022-12-15 13:42:20.023556,0,LIQUID
2022-12-15 13:42:20.697785,0,LIQUID
2022-12-15 13:42:57.227099,0,AIR
2022-12-15 13:42:59.624848,0,LIQUID
2022-12-15 13:43:12.865747,0,AIR
2022-12-15 13:43:15.696192,0,AIR
2022-12-15 13:43:15.802312,0,AIR
2022-12-15 13:43:15.980362,0,LIQUID
2022-12-15 13:43:28.532206,0,AIR
2022-12-15 13:43:28.645372,0,LIQUID
2022-12-15 13:43:31.675862,0,AIR
2022-12-15 13:43:31.819533,0,AIR
2022-12-15 13:43:31.979477,0,LIQUID
2022-12-15 13:43:44.116060,0,AIR
2022-12-15 13:43:44.244165,0,LIQUID
2022-12-15 13:43:47.724599,0,AIR
2022-12-15 13:43:47.879714,0,AIR
2022-12-15 13:43:48.004065,0,LIQUID
